Title,Author,Date,Excerpt
Nollywood script writing fails to match screen success,,"Oct 04, 2024","Nollywood has achieved global success, but some of its movies have received disappointing reviews across board. Critics say several Nollywood..."
Calls for aircraft entry review clash with safety concerns,,"Oct 04, 2024","Stakeholders in the aviation industry are asking the Nigeria Civil Aviation Authority, (NCAA) to review the conditions for granting Air..."
CBN introduces matching system to eliminate FX market distortions,,"Oct 03, 2024","The Central Bank of Nigeria (CBN), on Thursday, introduced the Electronic Foreign Exchange Matching System (EFEMS) to check forex market distortions,..."
Cost of healthy diet in Nigeria rises by 46% in eight months,,"Oct 03, 2024",…falls 0.8% in August The national average Cost of a Healthy Diet (CoHD) in Nigeria has increased by 46.2 percent...
"Independence: 64 years of phantom contracts, investment noise",,"Oct 03, 2024","For 64 years, Nigeria has awarded ghost contracts to several non-existing companies or even existing firms with little or no..."
Lending apps surge 80% as personal loans hit N7.5trn,,"Oct 03, 2024","The number of approved digital lenders in the country has surged by 79.77 percent since April 2023, reflecting the rising..."
Nigeria's non-oil exports decline amid push for FX earnings,,"Oct 03, 2024","Amid efforts to boost dollar inflows, Nigeria has failed to increase its FX non-oil exports significantly in five years. Data..."
Emirates in talks with Nigerian airlines on codeshare agreements - Keyamo,,"Oct 02, 2024",Festus Keyamo the Minister of aviation and aerospace development on Wednesday disclosed that Emirates airline is taking with several Nigerian...
Tinubu to proceed on two weeks annual leave ,,"Oct 02, 2024","President Bola Tinubu will depart Abuja, on Wednesday, for the United Kingdom to begin a two-week vacation, part of his..."
Business activities fall again as prices rise at sharpest rate in six months,,"Oct 02, 2024",Business activity in Nigeria fell for the second time in a row as prices rose at the sharpest rates in...
Naira takes Starlink out of reach as prices jump 115%,,"Oct 02, 2024",… More expensive in Benin than Nigeria despite hike The declining value of the naira is steadily putting Starlink out...
Nigerians can't find peace despite growing security budgets,,"Oct 02, 2024","…Military budgets have grown 190 times since 1960 …Data, tech needed to fight crime, experts tell security chiefs Nigeria’s security..."
"Emirates flight lands in Lagos again, two years after suspension",,"Oct 01, 2024","The long anticipated Emirates Airlines flight into Lagos has landed at the Murtala Muhammed International Airport, (MMIA) after it suspended..."
Six major highlights from Tinubu's Independence Day speech,,"Oct 01, 2024","President Bola Tinubu, in a national broadcast to mark Nigeria’s 64th Independence Day anniversary Tuesday, addressed the nation’s current challenges,..."
We have attracted $30bn FDI into Nigerian economy in one year -Tinubu,,"Oct 01, 2024","President Bola Ahmed Tinubu has told Nigerians to be patient with him, saying that his reforms have driven $30 billion..."
"Full text of President Bola Tinubu's Independence Day speech on October 1, 2024",,"Oct 01, 2024",TEXT OF NATIONAL BROADCAST BY PRESIDENT BOLA AHMED TINUBU ON THE 64TH INDEPENDENCE ANNIVERSARY OF THE FEDERAL REPUBLIC OF NIGERIA...
Nigerian leaders revel in squandermania as citizens sink,,"Oct 01, 2024","Sixty-four years after Independence, Nigerians are perplexed by the lavish lifestyles of the political elite in contrast to the daily..."
Marketers face pricing hurdles over direct Dangote petrol purchase,,"Oct 01, 2024","Marketers in Nigeria will purchase premium motor spirit (PMS), also known as petrol, directly from Dangote Petroleum Refinery, but they..."
Organisers insist on protest as FG calls for calm,,"Oct 01, 2024",Organisers of today’s nationwide protest against economic hardship in Nigeria say they will carry on with demonstrations across the country....
Nigeria can't find peace despite huge annual budget for security,,"Sep 30, 2024","Dramatic rise in violent crimes, continue to raise critical questions about the effectiveness of the country's defence strategies...."
Tinubu swears in Justice Kekere-Ekun as CJN,,"Sep 30, 2024","The new Chief Justice of Nigeria, CJN, Justice Kudirat Kekere-Ekun has been sworn in by President Bola Tinubu. Tinubu presided..."
"World Bank approves $1.57bn for Nigeria to improve health, education, power",,"Sep 30, 2024",The World Bank has approved a total of $1.57 billion to strengthen human capital in Nigeria through better health for...
Naira-for-crude deal kicks off Tuesday as expectations soar,,"Sep 30, 2024",The Federal Government’s latest decision to introduce naira-denominated crude oil sales to Dangote and other local refineries starting on October...
"Irregularities mar FG’s N40, 000 rice palliatives",,"Sep 30, 2024","A number of Nigerians have been unable to access the N40, 000 bag of rice promised by the federal government..."
Celebrating Independence: Gas-rich Nigeria faces energy paradox,,"Sep 30, 2024","Despite Nigeria’s vast natural gas reserves, the country continues to grapple with chronic energy shortages, highlighting a striking paradox in..."
High costs clip Nigerian airlines' wings,,"Sep 30, 2024","High operating and maintenance costs are asphyxiating domestic airlines, putting pressure on their long-term sustainability. Nigerian airlines are highly exposed..."
7.7m barrels of crude oil stolen from Nigeria in 2023 -Report,,"Sep 29, 2024","About 7.68 million barrels of crude were either stolen or lost in Nigeria in 2023, according to the Nigeria Extractive..."
Nigeria @ 64: Stunted growth belies large economy claim,,"Sep 29, 2024","…Citizens deplore slow progress, economic pains As Nigeria marks its 64th year of independence from the British colonial rule, the..."
Installment deaths in Niger Delta as soot menace lingers,,"Sep 29, 2024","…youths return to creeks for bunkering, refining on back of high cost of fuel Soot menace was the biggest issue..."
Private school owners go soft on parents to retain pupils,,"Sep 29, 2024","…Allow installment payment As schools resume in Nigeria for a new session, private school owners have adopted the carrot approach..."
Senators divided over push for regional government,,"Sep 28, 2024",The push to return Nigeria to regional system of government has caused a rift among Senators from the southern and...
Nigeria’s labour force in 10 numbers you didn't know,,"Sep 28, 2024",Nigeria is grappling with a rising jobless rate with unemployment soaring to 5.3 percent in the first quarter (Q1) of...
Bureaucracy stalls proposed hospital subsidies as NERC awaits FG directive,,"Sep 28, 2024",Bureaucracy is stalling the proposed 50 percent electricity subsidies for public hospitals as there is yet a lack of coordination...
Oil jumps as Middle -East tensions ignite supply fears,,"Sep 28, 2024","Crude prices are seeing a sharp rise today, with WTI trading at $68.52 per barrel, up 1.26 percent, and Brent..."
Naira to extend gains as US eyes unemployment data,,"Sep 28, 2024",The Nigerian naira snapped from its losing week-long streak and is poised to continue its rally on the back of...
Ex-Taraba gov faces 15 charges over N27bn fraud,,"Sep 27, 2024","The Economic and Financial Crimes Commission (EFCC) has arrested Darius Ishaku, a former governor of Taraba State. Darius, who is..."
"ExxonMobil's $10bn in Nigeria’s deepwater asset to unlock 180,000 bpd",,"Sep 27, 2024",The decision of ExxonMobil to invest $10 billion in deep-water oil projects in Africa’s biggest oil-producing country is expected to...
"House prices, rents seen jumping on CBN’s rate hike",,"Sep 27, 2024",The Central Bank of Nigeria (CBN)’s recent hike in interest rate to 27.75 percent could raise construction and maintenance costs...
How filmmakers can tap million-dollar biopics market,,"Sep 27, 2024","In 2023, Oppenheimer, an epic biographical thriller, became the highest-grossing biopic of all time with a global box office revenue..."
Cardoso lures foreign investors with historic OMO yields,,"Sep 27, 2024",…Yield on one-year OMO bill hits 32% …Naira rebounds to N1576/$ …CBN sells $60m to banks The Central Bank of...
"Oil, gas companies owe FG $6bn, N66bn in unpaid revenues – NEITI report",,"Sep 27, 2024","The Nigeria Extractive Industries Transparency Initiative (NEITI) has revealed that as of June 2024, the federal government was owed $6.071..."
Naira rebounds to 1576/$ as liquidity jumps 232%,,"Sep 26, 2024",The naira snapped a three-day losing streak on Thursday as it appreciated across foreign exchange (FX) markets following increased dollar...
Five sentenced to death over Offa 2018 bank robbery,,"Sep 26, 2024",Justice Haleemah Salman of the Kwara State High Court on Thursday sentenced five individuals who were involved in robbery attacks...
Nigeria to widen tax net over revenue shortfall,,"Sep 26, 2024","…Taps 30% of Tetfund income to fund NELFUND …To deploy tax tools to drive jobs, exports The federal government is..."
Instant transfers power N572tn cashless boom as POS dips,,"Sep 26, 2024","Instant transfers are now leading Nigeria’s N572 trillion cashless boom, but the point of sale (POS) transactions are declining. According..."
Retirees park N798bn in pension for life,,"Sep 26, 2024","Retirees under the Contributory Pension Scheme (CPS) numbering 129, 435 parked N798.58 billion in life annuity by the second quarter..."
"Naira hits N1,667/$ after MPC’s surprise rate hike",,"Sep 25, 2024",". ..CBN responds, sells dollars to BDCs at N1,590 The naira fell to an all-time low of N1,667.42 per dollar..."
Ministers jittery as Tinubu hints on cabinet reshuffle,,"Sep 25, 2024","… Says Tetfund to contribute 3% to NELFUND, under Economic Stabilisation Bill ….Foreign nationals in Nigeria to get NIN for..."
Four economic implications of Nigeria’s latest interest rate hike,,"Sep 25, 2024",The Central Bank of Nigeria (CBN) has again raised the benchmark interest rate by a half percentage point to 27.25...
Nigerians cook in tears as gas price rises by 70%,,"Sep 25, 2024","A 70 percent surge in the price of cooking gas has aroused feelings of discontent and despondency in Nigerians, leaving..."
Telcos explore renewables as monthly energy bill hits N56bn,,"Sep 25, 2024","Telecommunication companies are increasingly turning to renewable energy sources as the soaring cost of diesel, which reached N56.24 billion in..."
"Interest rate hike eyes inflation, naira stability",,"Sep 25, 2024",…Cardoso says money supply grew by N35trn in eight yrs The Central Bank of Nigeria (CBN) surprised the markets with...
Flour Mills to buy out minority shareholders after regulatory approval,,"Sep 25, 2024",Flour Mills of Nigeria Plc (FMN) has announced plans to buy out its minority shareholders after receiving the necessary regulatory...
"Jobless rate rises on multinationals’ exit, factory closures",,"Sep 25, 2024",Nigeria’s unemployment rate rose to 5.3 percent in the first quarter (Q1) of 2024 from 4.1 percent reported in the...
Lifting petrol from Dangote refinery will ease pressure on the economy – Cardoso,,"Sep 24, 2024","Yemi Cardoso, the governor of the Central Bank of Nigeria (CBN) has described the Dangote Refineries as a game changer,..."
Banks' impairment charges surge 69% on loan defaults,,"Sep 24, 2024","Rising interest rates have driven loan defaults, raising banks’ impairment charges by 69 percent in the first half (H1) of..."
CBN increases interest rate to 27.25% on petrol price hikes,,"Sep 24, 2024","The Central Bank of Nigeria (CBN) raised its Monetary Policy Rate (MPR) by 50 basis points on Tuesday, bringing the..."
Nigeria's unemployment rise 5.3% in Q1 2024,,"Sep 24, 2024","…Abia records highest unemployment rate, Nasarawa, lowest Nigeria’s unemployment rate rose to 5.3% in Q1 2024, up from 5.0% in..."
Tinubu blocks bill seeking to extend retirement age of National Assembly staff,,"Sep 24, 2024",President Bola Tinubu has declined assent to a bill seeking to extend the retirement age of National Assembly staff from...
FG must end petrol subsidy now - Dangote,,"Sep 24, 2024","Aliko Dangote, president of Dangote Group, says the federal government must end fuel subsidies completely now. Speaking in a 26-minute..."
"Finance ministry, Customs’ bureaucracy stalls zero food import take-off",,"Sep 24, 2024",The Federal Ministry of Finance and the Nigeria Customs Service (NCS)’s red tape is stalling the zero food import policy...
Firms incur losses on $2.4bn FX forward delays,,"Sep 24, 2024",Firms have incurred N1.5 trillion in losses in the last six months as the Central Bank of Nigeria (CBN) delays...
Telecoms VAT haul jumps 102% on increased data usage,,"Sep 24, 2024","The growth of digital services has continued to surge despite Nigeria’s economic challenges, marked by reduced purchasing power, double-digit inflation,..."
Hope for Nigeria’s 4.3m sickle cell patients as LUTH starts bone marrow transplant,,"Sep 23, 2024","The Lagos University Teaching Hospital (LUTH), in partnership with the Sickle Cell Foundation Nigeria (SCFN), has kicked off a bone..."
Nigeria late to gas party as inertia costs $30bn,,"Sep 23, 2024","The Nigerian National Petroleum Corporation (NNPC) has finally turned attention to Brass and Olokola Liquefied Natural Gas (LNG) projects, but..."
GMO seeds fail to revive dying cotton industry,,"Sep 23, 2024","Cotton farmers in Africa’s most populous nation were excited in 2018 when genetically engineered cotton seeds were introduced for cultivation,..."
External reserves hit 22-month high amid naira struggles,,"Sep 23, 2024","Nigeria’s external reserves, which represent the country’s stock of foreign currency, have reached a 22-month high of $37.31 billion, reflecting..."
New spectrum band to curb Nigeria's incessant network outages,,"Sep 23, 2024",The Nigerian Communications Commission (NCC) is making the six-gigahertz (GHz) spectrum band available to network providers to tackle the country’s...
APC’s Monday Okpebholo wins Edo guber election,,"Sep 22, 2024","Monday Okpebholo, candidate of the All Progressives Congress (APC), has been named winner of Saturday’s governorship election in Edo State...."
Edo Decides: APC wins Oredo LGA,,"Sep 22, 2024","The Independent National Electoral Commission (INEC) has declared APC the winner of Oredo Local Government with 30, 780 votes to..."
Edo Decides: INEC Declares 17 LGA out of 18,,"Sep 22, 2024",The Independent National Electoral Commission INEC has declared 17 local governments out of the 18 local government Areas that made...
PDP sinks into deeper crisis as governors clash over Damagum,,"Sep 22, 2024","Nigeria’s main opposition party, the People’s Democratic Party (PDP) appears to be sinking into a deeper leadership crisis as chieftains..."
#Edodecides: INEC uploads 98.58% of results on IReV,,"Sep 22, 2024",The Independent National Electoral Commission (INEC) has uploaded 98.58 percent of Edo State governorship election results to the Result Viewing...
Edo: All eyes on INEC,,"Sep 22, 2024","…As apprehension rules the air …Allegations mount as PDP accuses umpire of time wastage …Ighodalo, Okpebholo win own polling units..."
Lagdo Dam: Nigeria on high alert as flood threat intensifies,,"Sep 22, 2024","…11 states face flood risk …Adamawa govt urges communities to relocate As Nigeria grapples with devastating flood disaster in Borno,..."
"Worsening insecurity: FG, military struggle as criminal enterprises soar",,"Sep 22, 2024","Since last week, there has been celebration in the air in the North-West zone over the killing of Halilu Buzu..."
"Technology, harsh economy threaten church attendance in Nigeria",,"Sep 22, 2024",…As members join services online …Trend denying Churches resources to carry out programmes …Many yet to wean selves off Covid-19...
Updated Edo Decides results: 91% of result uploaded on IREV,,"Sep 21, 2024",At least 88 percent of the results from the Edo State election have been uploaded to the IREV portal. Corresponding...
"Edo decides: Okpebholo, Akpata vote, INEC finally arrives Ighodalo's centre",,"Sep 21, 2024","Monday Okpebholo, governorship candidate of the All Progressives Congress (APC) in Edo State, has voted in his  PU003, Uwessan 1,..."
INEC officials yet to arrive Ighodalo's polling centre three hours after,,"Sep 21, 2024","Officials of the Independent National Electoral Commission (INEC) are yet to arrive at Ward 1, Unit 3,  Ewohinmi, in Edo..."
EFCC storms polling stations in Edo to check vote buying,,"Sep 21, 2024","As the electorate vote in today’s governorship election in Edo State, the Economic and Financial Crimes Commission (EFCC) has stormed..."
"Edo 2024: Police restrict movement for 12hrs, EFCC deploys operatives to combat vote buying",,"Sep 21, 2024","The Inspector-General of Police, Kayode Egbetokun, has ordered restrictions of all vehicular movement on roads, waterways, and other forms of..."
MPC rate pause on the cards as DMO auctions N150bn FGN bonds,,"Sep 21, 2024",The Central Bank of Nigeria’s monetary policy committee will meet on Monday and Tuesday in a highly anticipated deliberation that...
My relationship with Wike won't affect Edo election- REC,,"Sep 20, 2024","Anugbum Onuoha, resident electoral commissioner (REC) in Edo State, has said that his relationship with Nyesom Wike,  minister of the..."
"NNPC in talks with investors to revive Brass, Olokola LNG projects",,"Sep 20, 2024",The Nigerian National Petroleum Company (NNPC) Limited has begun discussions with investors towards bringing back Brass and Olokola Liquefied Natural...
Public debt set to rise as Nigeria awaits World Bank's $1.7bn loan,,"Sep 20, 2024",Nigeria’s public debt is set to rise as the World Bank readies a $1.7 billion loan for Nigeria. According to...
"Edo decides: Infrastructure, security, jobs top voters’ concerns",,"Sep 20, 2024","… We want transparent, violence-free election – Electorate …CDS warns troublemakers, says Tinubu has no favourite candidate As Edo State..."
Beyond the crown: Miss Universe Nigeria plays up need for reforms,,"Sep 20, 2024",Chidinma Adetshina’s controversial path to winning the Miss Universe Nigeria 2024 crown has highlighted issues within the beauty pageant industry....
"FG eyes economy revamp with single-digit rates, tax incentives",,"Sep 20, 2024","…To reduce corporate taxes, provide 25-year mortgages …No domestic investment, no foreign investment – Dangote The Federal Government of Nigeria..."
INEC’s litmus test in Edo: BVAS must prove its worth,,"Sep 20, 2024",The upcoming Edo State governorship election represents a pivotal test for Nigeria’s Independent National Electoral Commission (INEC) and its use...
"11 Plc, Total Energies, AA. Rano, others pay N766/litre to lift Dangote petrol",,"Sep 19, 2024","11plc, Total Energies, AA Rano, and other marketers have begun lifting Dangote Petrol from the Nigerian National Company (NNPC) Trading..."
Currency risks could keep Nigeria's long-term investors cautious - Afreximbank,,"Sep 19, 2024","The persistent currency risks and economic uncertainties in Nigeria may lead to caution by long-term investors, resulting in a pessimistic..."
Over 60% of candidates earn 5 credits as NECO releases 2024 SSCE results,,"Sep 19, 2024","60.55 per cent of the 828,284 candidates who sat for the 2024 Senior Secondary Certificate Examination (SSCE) conducted by the..."
Shettima to lead FG delegation to UN General Assembly ,,"Sep 19, 2024","Presidency on Thursday announced that Kashim Shettima will represent Nigeria, at the forthcoming 79th United Nations General Assembly..."
Petrol price hikes put MPC in rate cut dilemma,,"Sep 19, 2024",The Central Bank of Nigeria (CBN)’s Monetary Policy Committee (MPC) may face a tricky decision regarding whether to hold or...
Regulatory clampdown fails to drown crypto excitement,,"Sep 19, 2024",…Nigeria second on top 20 global crypto adoption list Crypto adoption in Nigeria has continued to gain traction despite crackdowns...
Agric exports lead silent shift in Nigeria’s economy,,"Sep 19, 2024","For decades, Nigeria’s economy has been closely tied to the fluctuations of global oil markets. Since the discovery of oil..."
"Exchange rate, inflation slow real estate growth",,"Sep 19, 2024",".,,As construction GDP contribution drops in Q2 2024 Volatile exchange rate and galloping inflation have slowed the growth of Nigeria’s..."
Here are four major Supreme Court judgments in H1,,"Sep 19, 2024","In a series of landmark decisions, the Supreme Court of Nigeria made significant rulings that have reshaped the landscape of..."
EFCC moves to arrest Yahaya Bello at Kogi lodge,,"Sep 19, 2024","The Economic and Financial Crimes Commission (EFCC) has moved to arrest Yahaya Bello, former governor of Kogi State. This was..."
"Withheld salaries: NASU, SSANU, give FG final strike notice",,"Sep 18, 2024","The leadership NASU and SSANU, on Wednesday, gave FG a final three-week ultimatum to settle the withheld four months' salaries...."
From 49 to 70.5: Nigeria's aviation global rating rise after signed Cape Town Convention ,,"Sep 18, 2024",Aviation Working Group has on Wednesday adjusted the global score/rating of Nigeria on our compliance status from 49 to 70.5....
Nigeria to see capital inflows as Fed cuts rates,,"Sep 18, 2024","Emerging markets like Nigeria are set to benefit from the 50 basis point rate cut by the US Fed today, after a four-year hiatus. Analysts have projected significant foreign capital inflows into Nigeria as foreign investors look for safety nets...."
Nigeria eyes 6% share of exports to D8 countries,,"Sep 18, 2024","…20 top exporters to 9global halal market Nigeria on Wednesday, engaged major stakeholders with the launch of initiatives to tap..."
"Emirates’ bookings slow on dollar charges, visa - Travel agents",,"Sep 18, 2024",Travel agents operating in Nigeria say Emirates’ ticket bookings have slowed on the back of the airline’s dollar charges and...
Marketers yet to lift Dangote petrol from NNPC over price,,"Sep 18, 2024","Marketers are yet to access petrol lifted on Sunday by the Nigerian National Petroleum Company (NNPC) from Dangote Petroleum Refinery,..."
Hunger looms as flood sweeps food-belt states,,"Sep 18, 2024","The devastating flooding that has submerged about 70 percent of Maiduguri, capital of Borno State, may further pile pressure on..."
Canadian study permits fall 54% as students hunt for options,,"Sep 18, 2024",The number of new study permit applications processed by the Canadian government decreased by 54 percent in the second quarter...
Exclusive: Tinubu set to reshuffle cabinet before Oct 1,,"Sep 17, 2024",.Disquiet in APC over unfilled vacant positions   President Bola Tinubu is set to reshuffle his cabinet ahead of the...
Aviation unions suspend planned airport protest ,,"Sep 17, 2024",The National Association of Aircraft Pilots and Engineers says the planned airport protest scheduled to hold on 18th Sept has been suspended....
FG concludes final investment decision on $550m upstream gas project ,,"Sep 17, 2024",…To deliver 350 million standard cubic feet of gas per day The federal government has concluded a final investment decision...
Inside details of why diesel traders bought less of Dangote products,,"Sep 17, 2024",Fresh findings have revealed why only about three percent of local oil marketers have patronised Dangote Petroleum Refinery since it...
Inflation slows further to 32.15% on harvest ,,"Sep 17, 2024",…But petrol price hikes could reverse trend Food supply improved in the Nigerian market in August on the back of...
Pharmaceuticals ramp up investments to tap local opportunities,,"Sep 17, 2024",Nigeria’s pharmaceutical companies are ramping up investments and expanding operations to tap growing local opportunities. Exits of some foreign drug...
"Pros, cons of newly-signed Cape Town Convention",,"Sep 17, 2024","Nigeria signed the Cape Town Convention last week, making it one of the few countries in the world to pioneer..."
"NIN enrollment slows to 648,888 monthly amid server upgrade",,"Sep 16, 2024","The National Identification Number (NIN) enrollment rate has slowed to an average of 648,888 per month in 2024 (January–September), down..."
Inflation slows to 32.15% in August,BusinessDay,"Sep 16, 2024",Nigeria’s inflation slowed for the second month to 32.15 percent  a sign that the surging inflation that has gripped the...
"Petrol to sell at N950/litre in Lagos, N999 in Abuja, Kano",Odinaka Anudu,"Sep 16, 2024",The Nigerian National Petroleum Company Limited says it will sell petrol lifted from Dangote Refinery at N950 per litre in...
Dangote Refinery fuels Nigeria after 28-year lull,Oladehinde Oladipo,"Sep 16, 2024","NNPC buys at N898/litre, supplies 48.6m barrels of crude Refinery eyes 100% delivery via sea It was a historic moment..."
"Households cut vehicle fleet on high petrol cost, FX",Modestus Aneasoronye,"Sep 16, 2024","The surge in petrol prices, foreign exchange crunch and high inflation in Nigeria have forced several households to cut their..."
Tinubu arrives Abuja,Anthony Ailemen,"Sep 16, 2024","President Bola Tinubu on Sunday returned to Abuja, after his official visit to China and a stop over in the..."
"Obasanjo, IBB, Abdusalami meet in Minna",Anthony Ailemen,"Sep 16, 2024","Amidst growing economic challenges, elderstatesmen and former Nigeria military leaders on Sunday met behind closed doors in Mina, the Niger..."
Dangote Refinery denies selling petrol at N898/litre to NNPC,Dipo Oladehinde,"Sep 15, 2024",Dangote Industries Limited has issued a press statement denying that it sold Premium Motor Spirit (PMS) to the Nigerian National...
Dangote Refinery sold petrol at N898/liter- NNPC,Oladehinde Oladipo,"Sep 15, 2024","The Nigerian National Petroleum Company Limited (NNPC) has said it purchased Premium Motor Spirit (PMS), commonly known as petrol, from..."
FAO warns of worsening food insecurity in Nigeria as devastating floods continue,Athekame kenneth,"Sep 15, 2024","The Food and Agriculture Organization of the United Nations (FAO) has raised the alarm over the escalating floods in Nigeria,..."
The flood menace: Nigeria's IDPs number swells,Taofeek Oyedokun,"Sep 15, 2024",…As more disaster victims leave homes …Ecological fund on voicemail as dams collapse …Borno received N815.9m in six months …Alau...
Nigerians adopt swim or sink approach to survival as economic condition worsens,,"Sep 15, 2024","On a busy Monday morning, amid heavy traffic, Simisola, a sales girl at a supermarket in Ilupeju, Lagos, joined others..."
Test running of Lagos Red Line rail excites residents,,"Sep 15, 2024","…As date of full commercial operation nears …To transport 500,000 passengers daily, generate over N200m monthly Many Lagos residents are..."
"Harsh economy, insecurity tweaking traditions in Nigeria",,"Sep 15, 2024",…Many more people now bury the dead in cities …Traditional marriage rites hold outside villages Nigeria’s growing economic hardship and...
NNPC moves 100 trucks to Dangote refinery as petrol lifting starts Sunday,,"Sep 14, 2024",The Nigerian National Petroleum Company (NNPC) Limited has mobilised 100 trucks to Dangote refinery in readiness  for petrol lifting on...
50% IGR deductions: Flight disruptions loom as air traffic controllers join in protest ,,"Sep 14, 2024",The Nigerian Air Traffic Controllers Association (NATCA) has said that all its members would be joining in the protest earlier...
"Nigeria, UK to release inflation rate as Fed meets for a potential rate cut",,"Sep 14, 2024",Nigeria and the United Kingdom are expecting August’s inflation data as the Fed meets on Monday for a potential rate...
FG declares Monday as public holiday to mark Eid-ul-Mawlid,,"Sep 13, 2024","The Federal Government has declared Monday, September 16, as a public holiday to mark the Eid-ul-Mawlid  celebration. Eid-ul-Mawlid is the..."
Exclusive: Marketers to start lifting petrol from Dangote refinery on Sunday,,"Sep 13, 2024",…25m litres to be delivered daily via NNPC Trading Ltd Dangote Refinery is set to commence the distribution of its...
Naira rallies on record domestic dollar-bond,,"Sep 13, 2024","… Edun hails Tinubu reforms as FG raises $900m The naira strengthened significantly against the US Dollar on Thursday, following..."
"How exporters can leverage China’s tariff waiver, $50bn investment offer",,"Sep 13, 2024",Nigeria-China’s economic relations got a boost over the weekend with zero tariffs for goods exported to China from Africa and...
Firms expand Nigerian operations despite economic crunch,,"Sep 13, 2024","It is not all gloom and doom in Nigeria. Amid tales of firms’ exits, losses, regulatory hiccups and insecurity, some..."
Talent gap threatens Nigeria's blockchain industry,,"Sep 13, 2024","A shortage of blockchain engineers and professionals across the sector is threatening the industry’s growth potential, according to experts at..."
Nigeria signs the Cape Town Convention on aircraft lease,,"Sep 12, 2024","After over 20 years, Nigeria government on Thursday finally approved the Cape Town Accord on aircraft Lease. Vice President Kashim..."
CBN tightens grip on electronic transactions with new rules for PoS,,"Sep 12, 2024","The Central Bank of Nigeria (CBN) has announced new regulations for processing Point of Sale (PoS) transactions across the country,..."
BDCs risk licences over recapitalisation 3 months to deadline,,"Sep 12, 2024","With three months left before the deadline set for Bureau De Change (BDC) operators to meet new capital requirements, compliance..."
External reserves jump by $490m one week after domestic dollar bond issuance,,"Sep 12, 2024","Nigeria’s external reserves, also known as foreign currency reserves, jumped by $490 million in one week following the successful issuance..."
Aircraft shortages narrow options for passengers on second-tier routes,,"Sep 12, 2024","Passengers travelling from Lagos to second-tier airports such as Ilorin, Akure, Asaba, Benin, Kaduna, Katsina, Sokoto, Ibadan and Yola do..."
50 crypto operators jostle for licenses on FG's approval,,"Sep 12, 2024","Emonotimi Agama, director-general of the Securities Exchange Commission (SEC), has disclosed that 50 cryptocurrency exchanges have applied for operational licenses..."
Parents face hard times as schools raise fees over rising costs,,"Sep 12, 2024","…Costs of books, basic education items surge Uwaezuoke Okorie, a transporter and father of three who resides in Egbe, a..."
Nigeria's exports rises by 201% in one year as crude oil dominates,,"Sep 11, 2024","Nigeria’s total exports surged by 201.75 percent in one year, mostly driven by exports of crude oil, a new report..."
Nigeria records N6.9trn trade surplus in Q2 2024,,"Sep 11, 2024","Nigeria recorded a trade surplus of N6.95 trillion in the second quarter of 2024, according to a report released by the NBS on Wednesday...."
New petrol price may slow expected inflation drop,,"Sep 11, 2024","Nigeria’s headline inflation is expected to further decelerate in August 2024, primarily driven by high base effects and food seasonal..."
Boon for Nigeria as Shell’s $1.3bn assets sale gets regulatory nod,,"Sep 11, 2024",…Awaits Tinubu’s consent as petroleum minister The Nigerian Upstream Petroleum Regulatory Commission (NUPRC) has accepted Shell International Plc’s bid to...
"If Nigeria cannot end fuel shortages, disaster beckons",,"Sep 11, 2024","Seldom has one tycoon so tantalised a nation. On September 3rd Aliko Dangote, one of Africa’s richest men, announced that..."
Corporate tax revenue jumps 151% on FG’s drive,,"Sep 11, 2024","Nigeria’s company income tax (CIT) rose by 151 percent in the second quarter of 2024, driven by the Federal Government’s..."
Nigeria raises over $900m in first domestic dollar bond,,"Sep 11, 2024",…Records 180% subscription rate …FG ready to leverage capital markets for growth -DMO Nigeria’s efforts to deepen its capital market...
iPhone 16 price equals 18 months of Nigeria's minimum wage,,"Sep 10, 2024",A Nigerian minimum wage earner would need to save every penny of their salary for 18 months to afford the...
FG eyes slice of big fintechs N46tn transactions,,"Sep 10, 2024","FG’s ongoing search for increased revenue has now extended to the fintech sector, which processed transactions worth N46.91 trillion in 2023...."
Nigerians bear brunt of FG’s petrol subsidy politics,,"Sep 10, 2024","Nkechi Okafor, a 32-year-old small business owner in Nigeria’s commercial capital, drove to a NIPCO petrol station on Monday. The..."
"DangCem, Lafarge, Seplat top premium stocks in eight months",,"Sep 10, 2024","Shares of Dangote Cement Plc, Lafarge Africa and Seplat Energy Plc surpassed other premium stocks in returns between January and..."
Pharma industry under pressure as Tinubu’s executive order stalls,,"Sep 10, 2024","Nigeria’s pharmaceutical sector has seen high import duties and other barriers weigh heavily on their operations, as they await the..."
"Breaking: DSS releases NLC president, Ajaero, on bail",,"Sep 10, 2024","Joe Ajaero, president of the Nigeria Labour Congress (NLC), has been released by the Department of State Services on administrative..."
"Air Peace denies involvement in Ajaero's arrest, detention",,"Sep 09, 2024","Air Peace has distanced itself from the current ordeals and arrest of Joe Ajaero, president of the Nigeria Labour Congress..."
Nationwide protest looms as NLC gives 12 midnight ultimatum for Ajaero's release ,,"Sep 09, 2024",The Nigeria Labour Congress (NLC) has given the  Federal Government up to 12 midnight today for the release of the...
"DSS arrests NLC president, Joe Ajaero",,"Sep 09, 2024","The Nigeria Labour Congress (NLC) on Monday convened a closed-door meeting following the arrest of its National President, Joe Ajaero...."
